,ConsistencyBat,TotalConBat,FormBat,RecentFormBat,OppositionBat,VenueBat,ConsistencyBowl,TotalConBowl,FormBowl,RecentFormBowl,OppositionBowl,VenueBowl
Devdutt Padikkal,2.621,2.621,0.0,2.6766,3.0472000000000006,3.455,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Finch,2.621,2.497,0.0,2.621,3.0173999999999994,4.427199999999999,0.0,0.9385000000000001,0.0,0.0,1.9945999999999997,0.0
Virat Kohli,4.1977,4.1977,3.8335000000000004,0.9848000000000001,3.2011999999999996,2.044,0.9385000000000001,0.9385000000000001,0.0,0.0,0.6354,0.0
AB de Villiers,4.183,4.5183,4.1903999999999995,3.2538000000000005,4.627500000000001,4.5454,0.0,0.0,0.0,0.0,0.0,0.0
Gurkeerat Singh Mann,2.7720000000000002,1.703,2.7720000000000002,0.0,1.143,0.0,0.0,1.9693000000000003,0.0,0.0,0.0,0.0
Shivam Dube,1.713,1.713,1.713,2.2902,1.0116,2.8689999999999998,1.9693000000000003,1.9693000000000003,0.6115,2.1550000000000002,0.0,2.7737000000000003
Washington Sundar,1.8312,1.6802000000000001,0.7354,2.4144,1.2414,2.48,1.5166000000000002,2.0315000000000003,2.1550000000000002,1.0412,3.2653999999999996,1.9002999999999999
Isuru Udana,0.0,0.0,0.0,0.0,0.0,0.0,1.8718000000000004,1.8718000000000004,0.0,2.034,2.1879,2.3328
Navdeep Saini,0.9848000000000001,0.9848000000000001,0.8338000000000001,0.9848000000000001,0.0,1.0176,1.6763000000000001,1.6763000000000001,2.8032000000000004,1.4348,1.2708,2.5249
Adam Zampa,0.0,0.9520000000000001,0.0,0.0,0.0,0.0,1.4191,2.1538000000000004,0.0,1.4833,2.5303,1.7319
Yuzvendra Chahal,0.801,0.801,0.8338000000000001,0.8338000000000001,0.0,0.8666000000000001,3.5719000000000003,3.8353,3.8608000000000002,2.4819,4.4713,4.2122
Quinton de Kock,2.6438,2.7659,3.7158,1.713,4.2597000000000005,2.9204,0.0,0.0,0.0,0.0,0.0,0.0
Rohit Sharma,3.7509000000000006,4.0075,3.2768,2.621,3.2796,2.6525999999999996,0.9385000000000001,2.0570000000000004,0.0,0.0,0.6354,0.0
Suryakumar Yadav,2.6438,2.4414000000000002,3.7030000000000003,2.0408,2.6081999999999996,1.7271999999999998,0.0,0.6808000000000001,0.0,0.0,0.0,0.0
Ishan Kishan,2.162,2.1848,1.8186,3.1982000000000004,2.7278,3.4962000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Hardik Pandya,2.5696,2.5696,4.126200000000001,1.713,4.224600000000001,1.5947999999999998,2.6148,2.3514,3.7052,0.0,2.6326,0.0
Kieron Pollard,3.1939999999999995,3.1939999999999995,3.5418000000000003,3.1982000000000004,4.335800000000001,4.321599999999999,2.7378,2.7378,0.0,1.6043,3.9475999999999996,1.1602000000000001
Krunal Pandya,2.5696,2.5696,2.641,0.9848000000000001,2.7579999999999996,0.2566,2.7123,2.7123,3.5175,0.9202,3.9008,0.5801000000000001
James Pattinson,1.713,1.713,0.0,1.713,0.0,0.0,1.5166000000000002,1.5166000000000002,0.0,1.9312,0.6354,0.8584
Rahul Chahar,0.9520000000000001,1.1030000000000002,1.0374,0.40759999999999996,0.0,0.0,2.129,2.129,3.3539000000000003,2.3609,1.2929,1.871
Trent Boult,0.2238,0.9520000000000001,1.4378000000000002,0.15819999999999998,0.0,0.0,1.9693000000000003,2.6091,2.2158,2.4819,3.2874999999999996,2.4719
Jasprit Bumrah,1.3782,1.3782,0.2566,1.0116,0.40759999999999996,0.7424000000000001,3.1297,3.3931,4.1531,1.8102,4.072,1.1602000000000001
