,Consistency,TotalConsistency,Form,Opposition,Venue,BatBowl,DreamTeam
Rohit Sharma,3.7509,4.0075,3.2768,3.3452,2.0352,1,0
Quinton de Kock,2.6438,3.1921,3.7158,2.5384,2.782,1,1
Suryakumar Yadav,2.6438,2.4742,3.703,3.2954,3.5518,1,0
Saurabh Tiwary,2.2176,2.4742,0,2.6596,3.09,1,1
Krunal Pandya,2.313,2.313,2.641,2.1278,1.1686,1,0
Hardik Pandya,2.5696,2.5696,4.1262,3.6444,1.8968,1,0
Kieron Pollard,3.194,3.194,3.5418,3.8112,2.2776,1,0
Murali Vijay,2.789,3.0684,2.4144,3.0702,1.2742,1,0
Shane Watson,3.0768,3.8855,3.1684,3.1258,2.3974,1,0
Faf du Plessis,2.956,2.956,3.502,3.0702,3.569,1,1
Ambati Rayudu,2.8799,3.2691,2.788,3.2596,3.6018,1,1
Kedar Jadhav,2.011,2.4414,2.138,3.0702,0,1,0
MS Dhoni,4.102,4.2076,3.9282,3.6602,2.869,1,0
Ravindra Jadeja,2.363,2.8434,2.822,2.6082,1.7272,1,1
Krunal Pandya,2.7123,2.7123,3.5175,3.4587,1.7319,0,0
Hardik Pandya,2.6148,2.3514,3.7052,3.4587,0,0,0
Kieron Pollard,2.7378,2.7378,0,3.9476,0.5801,0,0
James Pattinson,1.6141,1.6141,0,1.8481,2.0101,0,1
Rahul Chahar,2.129,2.0315,3.3539,2.7544,1.7319,0,1
Trent Boult,1.7116,2.4489,0,3.0747,2.1492,0,0
Jasprit Bumrah,3.1297,3.1297,4.1531,3.0747,1.7319,0,0
Shane Watson,1.2589,3.5161,0,3.9255,1.5038,0,0
Ravindra Jadeja,3.4372,3.964,3.9654,3.5857,3.0521,0,1
Sam Curran,1.9693,1.8973,0,1.8728,2.0101,0,1
Deepak Chahar,2.7066,2.4489,4.1531,3.7764,2.4719,0,1
Piyush Chawla,1.4191,4.5218,0,4.4118,3.9104,0,1
Lungisani Ngidi,2.0923,2.0923,0,2.3344,2.4719,0,1
Shikhar Dhawan,2.6438,3.8042,3.7714,3.3124,2.2918,1,0
Prithvi Shaw,2.2176,2.2176,3.1784,1.8712,0.8666,1,1
Shreyas Iyer,2.9232,2.9232,3.6076,3.7586,2.631,1,1
Rishabh Pant,3.3103,3.3103,3.9096,2.4828,2.48,1,1
Shimron Hetmyer,0.8338,1.5848,0,0.8338,0.8666,1,0
Marcus Stoinis,3.1982,2.5882,0,3.4548,3.4634,1,1
Axar Patel,1.5292,1.904,2.3844,0.9848,1.0176,1,1
Ravichandran Ashwin,0.9848,1.753,0,2.1808,1.7004,1,1
KL Rahul,3.5455,3.6739,4.2755,3.1156,2.7694,1,1
Mayank Agarwal,2.162,2.0152,3.0728,2.9646,3.7528,1,1
Karun Nair,2.1948,2.5298,0.9848,4.0792,0.8666,1,0
Nicholas Pooran,2.2574,2.2574,2.5468,0.1582,0.2566,1,0
Sarfaraz Khan,2.621,2.313,3.3038,1.9696,1.5948,1,0
Glenn Maxwell,2.5924,2.5924,0,1.7416,1.2742,1,0
Krishnappa Gowtham,2.2902,1.8312,0,2.5468,2.3558,1,0
Ravi Bishnoi,0,0,0,0,0,1,0
Marcus Stoinis,1.9693,1.9595,0,2.3344,2.1936,0,1
Axar Patel,1.6136,3.2527,2.9424,2.6521,1.9447,0,1
Ravichandran Ashwin,1.9693,4.4603,0,4.5957,3.052,0,1
Kagiso Rabada,2.5712,2.5712,4.0616,3.2875,2.4719,0,1
Anrich Nortje,0.6808,0.6808,0,0.6354,0.8584,0,0
Mohit Sharma,1.4191,3.4129,0,3.3122,3.7191,0,0
Glenn Maxwell,1.2589,1.6763,0,1.2929,0.5801,0,0
Krishnappa Gowtham,0.6808,1.5161,0,1.2708,0.8584,0,0
Chris Jordan,0.6808,1.8973,0,1.1685,0.8584,0,0
Sheldon Cottrell,1.9693,1.9693,0,2.3344,2.4719,0,1
Mohammed Shami,2.2892,2.5173,3.8685,2.9698,3.493,0,1
Ravi Bishnoi,1.7116,0,0,0,0,0,0
David Warner,3.9592,4.5183,4.4265,4.6831,3.8812,1,0
Jonny Bairstow,3.4015,3.4015,3.9047,3.4343,3.4634,1,1
Manish Pandey,2.6438,2.9569,3.6716,3.0274,3.1956,1,1
Priyam Garg,1.411,0,0,0,0,1,0
Vijay Shankar,2.162,2.162,2.909,1.8712,0.2566,1,0
Mitchell Marsh,0.2238,1.5292,0,1.4636,0.2566,1,0
Aaron Finch,1.9882,2.497,0,2.9218,4.0094,1,1
Devdutt Padikkal,3.0472,3.0472,0,3.0472,3.3124,1,1
Virat Kohli,4.1977,4.1977,3.8335,4.293,1.6818,1,1
AB de Villiers,4.183,4.5183,4.1904,3.8668,3.8256,1,1
Josh Philippe,0.4076,0,0,0,0,1,0
Washington Sundar,1.8312,1.8312,0.7354,0.7354,0,1,0
Shivam Dube,1.562,1.562,1.713,0.9848,1.0176,1,1
Vijay Shankar,1.2589,1.0987,1.2048,1.3618,2.1936,0,0
Abhishek Sharma,1.9693,1.9693,2.034,2.3344,2.1936,0,1
Mitchell Marsh,0.6808,2.4122,0,1.8728,0.5801,0,0
Rashid Khan,2.5464,2.8098,3.9654,3.1189,0.8584,0,0
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,3.7322,2.5249,0,0
Sandeep Sharma,1.934,3.5719,2.9483,4.2406,3.052,0,0
T Natarajan,1.5166,1.0987,0,1.1685,1.871,0,1
Washington Sundar,1.5166,2.0315,2.155,2.63,0.5801,0,0
Shivam Dube,1.9693,1.9693,0.6115,2.3344,2.1936,0,1
