,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Sunil Narine,2.1106,2.1106,2.1206,0.9848,1.6562,1.5308,1,0
Shubman Gill,2.6766,2.6766,3.502,0.9848,2.4514,1.0176,1,0
Nitish Rana,2.2176,2.2176,3.298,2.1392,2.3958,2.2048,1,0
Eoin Morgan,2.162,2.2176,0,1.411,1.9242,1.4438,1,1
Andre Russell,2.7948,3.0514,4.0364,1.562,3.0172,1.5948,1,0
Dinesh Karthik,3.2538,3.3224,3.5974,2.5654,3.2212,2.3104,1,1
Nikhil Naik,0.8338,0.9848,0.8338,0.8338,0.8338,0.8666,1,0
Shivam Mavi,0.952,0.952,0,0.9848,0.9848,1.0176,1,0
Rohit Sharma,3.7509,4.0075,3.2768,3.1982,4.4009,3.5832,1,1
Quinton de Kock,2.6438,2.7659,3.7158,1.864,2.2334,2.1862,1,0
Suryakumar Yadav,2.6438,2.4742,3.703,2.7164,3.7114,3.8412,1,1
Saurabh Tiwary,2.2176,2.4742,0,2.7164,3.0702,3.0714,1,0
Kieron Pollard,3.194,3.194,3.5418,2.7164,3.2212,3.1114,1,1
Hardik Pandya,2.5696,2.5696,4.1262,1.713,4.0236,2.0024,1,0
Krunal Pandya,2.5696,2.5696,2.641,0.9848,3.06,1.2742,1,0
Sunil Narine,3.7981,4.0615,2.9242,1.8463,4.8833,4.601,0,0
Andre Russell,3.093,2.9955,3.4206,2.155,3.268,2.1936,0,0
Pat Cummins,0.9385,1.934,0,0.6115,1.8039,0.5801,0,1
Kuldeep Yadav,2.4744,2.4744,1.8586,0.6115,2.246,0.8584,0,0
Sandeep Warrier,0.9385,0.9385,1.4348,0.6115,1.2708,0.5801,0,0
Shivam Mavi,1.2589,1.2589,0,2.155,2.3344,2.4719,0,1
Kieron Pollard,2.7378,2.7378,0,2.034,2.6326,1.3647,0,1
Hardik Pandya,2.6148,2.3514,3.7052,0,3.6052,0,0,0
Krunal Pandya,2.7123,2.7123,3.5175,1.1079,3.2433,1.3647,0,0
Rahul Chahar,2.129,2.129,3.3539,2.034,2.2126,2.9129,0,1
James Pattinson,1.9693,1.9693,0,2.155,2.3344,3.052,0,1
Trent Boult,1.9693,2.6091,2.2158,2.155,2.9698,3.052,0,1
Jasprit Bumrah,3.1297,3.3931,4.1531,1.913,3.6078,2.7738,0,1
