,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Rohit Sharma,3.7509,4.0075,3.2768,3.3452,2.0352,1
Quinton de Kock,2.6438,3.1921,3.7158,2.5384,2.782,3
Suryakumar Yadav,2.6438,2.4742,3.703,3.2954,3.5518,2
Saurabh Tiwary,2.2176,2.4742,0,2.6596,3.09,3
Krunal Pandya,2.313,2.313,2.641,2.1278,1.1686,1
Hardik Pandya,2.5696,2.5696,4.1262,3.6444,1.8968,1
Kieron Pollard,3.194,3.194,3.5418,3.8112,2.2776,2
Murali Vijay,2.789,3.0684,2.4144,3.0702,1.2742,1
Shane Watson,3.0768,3.8855,3.1684,3.1258,2.3974,1
Faf du Plessis,2.956,2.956,3.502,3.0702,3.569,4
Ambati Rayudu,2.8799,3.2691,2.788,3.2596,3.6018,4
Kedar Jadhav,2.011,2.4414,2.138,3.0702,0,0
MS Dhoni,4.102,4.2076,3.9282,3.6602,2.869,0
Ravindra Jadeja,2.363,2.8434,2.822,2.6082,1.7272,1
Shikhar Dhawan,2.6438,3.8042,3.7714,3.3124,2.2918,0
Prithvi Shaw,2.2176,2.2176,3.1784,1.8712,0.8666,1
Shreyas Iyer,2.9232,2.9232,3.6076,3.7586,2.631,3
Rishabh Pant,3.3103,3.3103,3.9096,2.4828,2.48,3
Shimron Hetmyer,0.8338,1.5848,0,0.8338,0.8666,1
Marcus Stoinis,3.1982,2.5882,0,3.4548,3.4634,4
Axar Patel,1.5292,1.904,2.3844,0.9848,1.0176,1
Ravichandran Ashwin,0.9848,1.753,0,2.1808,1.7004,1
KL Rahul,3.5455,3.6739,4.2755,3.1156,2.7694,2
Mayank Agarwal,2.162,2.0152,3.0728,2.9646,3.7528,5
Karun Nair,2.1948,2.5298,0.9848,4.0792,0.8666,1
Nicholas Pooran,2.2574,2.2574,2.5468,0.1582,0.2566,0
Sarfaraz Khan,2.621,2.313,3.3038,1.9696,1.5948,1
Glenn Maxwell,2.5924,2.5924,0,1.7416,1.2742,1
Krishnappa Gowtham,2.2902,1.8312,0,2.5468,2.3558,2
David Warner,3.9592,4.5183,4.4265,4.6831,3.8812,1
Jonny Bairstow,3.4015,3.4015,3.9047,3.4343,3.4634,4
Manish Pandey,2.6438,2.9569,3.6716,3.0274,3.1956,3
Priyam Garg,1.411,0,0,0,0,1
Vijay Shankar,2.162,2.162,2.909,1.8712,0.2566,0
Mitchell Marsh,0.2238,1.5292,0,1.4636,0.2566,0
Aaron Finch,1.9882,2.497,0,2.9218,4.0094,3
Devdutt Padikkal,3.0472,3.0472,0,3.0472,3.3124,4
Virat Kohli,4.1977,4.1977,3.8335,4.293,1.6818,2
AB de Villiers,4.183,4.5183,4.1904,3.8668,3.8256,4
Josh Philippe,0.4076,0,0,0,0,1
Washington Sundar,1.8312,1.8312,0.7354,0.7354,0,0
Shivam Dube,1.562,1.562,1.713,0.9848,1.0176,1
Robin Uthappa,0.8338,3.3224,2.8848,3.6274,1.8842,1
Yashasvi Jaiswal,1.1358,0,0,0,0,1
Sanju Samson,2.6775,2.8118,3.6239,2.44,3.8084,5
Steven Smith,2.6438,3.1365,3.0944,3.6474,3.72,4
David Miller,0.2238,3.1365,2.708,3.7556,3.5504,0
Riyan Parag,2.1948,2.1948,2.8776,1.713,1.4706,1
Rahul Tewatia,1.713,1.713,1.9882,2.2448,1.7458,1
Murali Vijay,2.789,3.0684,2.4144,3.8407,2.5998,2
Shane Watson,3.0768,3.8855,3.1684,3.3673,3.72,3
Faf du Plessis,2.956,2.956,3.502,3.4464,3.3266,5
Ruturaj Gaikwad,0.2238,0.2238,0,0.1582,0.2566,0
MS Dhoni,4.102,4.2076,3.9282,4.0308,1.1828,3
Kedar Jadhav,2.011,2.4414,2.138,2.4828,2.8876,2
Ravindra Jadeja,2.363,2.8434,2.822,3.3424,1.2742,1
Sam Curran,1.864,2.313,2.504,1.864,1.8968,2
Sunil Narine,2.1106,2.1106,2.1206,1.6562,1.5308,1
Shubman Gill,2.6766,2.6766,3.502,2.4514,1.0176,1
Nitish Rana,2.2176,2.2176,3.298,2.3958,2.2048,2
