,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Krunal Pandya,2.7123,2.7123,3.5175,3.4587,1.7319,1
Hardik Pandya,2.6148,2.3514,3.7052,3.4587,0,0
Kieron Pollard,2.7378,2.7378,0,3.9476,0.5801,0
James Pattinson,1.6141,1.6141,0,1.8481,2.0101,1
Rahul Chahar,2.129,2.0315,3.3539,2.7544,1.7319,1
Trent Boult,1.7116,2.4489,0,3.0747,2.1492,1
Jasprit Bumrah,3.1297,3.1297,4.1531,3.0747,1.7319,1
Shane Watson,1.2589,3.5161,0,3.9255,1.5038,0
Ravindra Jadeja,3.4372,3.964,3.9654,3.5857,3.0521,2
Sam Curran,1.9693,1.8973,0,1.8728,2.0101,1
Deepak Chahar,2.7066,2.4489,4.1531,3.7764,2.4719,2
Piyush Chawla,1.4191,4.5218,0,4.4118,3.9104,1
Lungisani Ngidi,2.0923,2.0923,0,2.3344,2.4719,3
Marcus Stoinis,1.9693,1.9595,0,2.3344,2.1936,2
Axar Patel,1.6136,3.2527,2.9424,2.6521,1.9447,1
Ravichandran Ashwin,1.9693,4.4603,0,4.5957,3.052,2
Kagiso Rabada,2.5712,2.5712,4.0616,3.2875,2.4719,2
Anrich Nortje,0.6808,0.6808,0,0.6354,0.8584,0
Mohit Sharma,1.4191,3.4129,0,3.3122,3.7191,1
Glenn Maxwell,1.2589,1.6763,0,1.2929,0.5801,0
Krishnappa Gowtham,0.6808,1.5161,0,1.2708,0.8584,0
Chris Jordan,0.6808,1.8973,0,1.1685,0.8584,0
Sheldon Cottrell,1.9693,1.9693,0,2.3344,2.4719,2
Mohammed Shami,2.2892,2.5173,3.8685,2.9698,3.493,3
Ravi Bishnoi,1.7116,0,0,0,0,1
Vijay Shankar,1.2589,1.0987,1.2048,1.3618,2.1936,1
Abhishek Sharma,1.9693,1.9693,2.034,2.3344,2.1936,1
Mitchell Marsh,0.6808,2.4122,0,1.8728,0.5801,0
Rashid Khan,2.5464,2.8098,3.9654,3.1189,0.8584,0
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,3.7322,2.5249,0
Sandeep Sharma,1.934,3.5719,2.9483,4.2406,3.052,0
T Natarajan,1.5166,1.0987,0,1.1685,1.871,1
Washington Sundar,1.5166,2.0315,2.155,2.63,0.5801,0
Shivam Dube,1.9693,1.9693,0.6115,2.3344,2.1936,2
Navdeep Saini,1.934,1.934,2.8032,2.6521,2.4719,2
Umesh Yadav,2.0315,3.841,2.5186,3.5857,0.8584,0
Dale Steyn,2.4489,3.4906,2.155,1.1685,3.6321,1
Yuzvendra Chahal,3.5719,3.8353,3.8608,3.7543,3.6321,3
Riyan Parag,0.9385,0.9385,1.5317,0.6354,0,0
Shreyas Gopal,2.5097,2.9271,3.6626,2.8012,1.7319,1
Tom Curran,1.4191,1.8718,0,2.2126,1.7319,1
Jofra Archer,2.2892,2.2892,2.9483,3.2875,2.0101,1
Jaydev Unadkat,1.6763,3.5974,2.7063,3.0747,2.312,0
Shane Watson,1.2589,3.5161,0,1.9946,0,0
Ravindra Jadeja,3.4372,3.964,3.9654,4.5656,1.4385,0
Sam Curran,1.9693,1.8973,3.0496,2.6521,2.4719,3
Deepak Chahar,2.7066,2.4489,4.1531,3.2875,1.871,1
Piyush Chawla,1.4191,4.5218,2.8032,4.4118,1.7319,1
Lungisani Ngidi,2.0923,2.0923,0,1.5551,1.7319,1
Sunil Narine,3.7981,4.0615,2.9242,4.8833,4.601,1
Andre Russell,3.093,2.9955,3.4206,3.268,2.1936,1
Pat Cummins,0.9385,1.934,0,1.8039,0.5801,0
Kuldeep Yadav,2.4744,2.4744,1.8586,2.246,0.8584,0
Sandeep Warrier,0.9385,0.9385,1.4348,1.2708,0.5801,0
Shivam Mavi,1.2589,1.2589,0,2.3344,2.4719,2
Kieron Pollard,2.7378,2.7378,0,2.6326,1.3647,1
Hardik Pandya,2.6148,2.3514,3.7052,3.6052,0,0
Krunal Pandya,2.7123,2.7123,3.5175,3.2433,1.3647,0
Rahul Chahar,2.129,2.129,3.3539,2.2126,2.9129,2
James Pattinson,1.9693,1.9693,0,2.3344,3.052,2
Trent Boult,1.9693,2.6091,2.2158,2.9698,3.052,2
Jasprit Bumrah,3.1297,3.3931,4.1531,3.6078,2.7738,2
Glenn Maxwell,1.6763,1.6763,0,2.9945,1.3647,1
James Neesham,0.6808,0,0,0,0,0
Murugan Ashwin,1.3564,1.934,2.1432,2.9945,2.1936,3
Ravi Bishnoi,1.9693,0,0,0,0,3
Mohammed Shami,2.2892,2.5173,3.8685,3.2901,3.9104,1
Sheldon Cottrell,1.9693,1.9693,0,2.3344,3.052,2
Shivam Dube,1.9693,1.9693,0.6115,2.3344,2.7737,2
Washington Sundar,1.4191,2.0315,2.155,2.1658,0.5801,0
Navdeep Saini,1.6763,1.6763,2.8032,1.8039,2.4511,0
Umesh Yadav,1.934,3.841,2.5186,4.9355,1.4385,0
Dale Steyn,2.4489,3.3931,2.155,3.0747,3.6322,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.6178,4.2122,1
Sunil Narine,3.7981,4.0615,2.9242,3.3924,4.601,0
Andre Russell,3.093,2.9955,3.4206,3.4587,2.4719,1
Pat Cummins,0.9385,1.934,0,1.2929,1.7612,1
Shivam Mavi,1.2589,1.2589,0,1.2929,2.6346,0
Kuldeep Yadav,2.4744,2.4744,1.8586,4.0941,1.1602,0
Varun Chakravarthy,0,1.5166,0,1.8481,2.0101,1
Kamlesh Nagarkoti,0.6808,0.6808,0,0.6354,0.5801,0
Mohammad Nabi,1.5769,1.5769,3.1039,0.6354,0.8584,0
Abhishek Sharma,1.8718,1.8718,2.034,0.6354,0.5801,0
Rashid Khan,2.5464,2.8098,3.9654,3.561,2.0101,1
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,4.4118,1.9448,0
Khaleel Ahmed,1.9693,1.9693,3.0934,2.8233,1.9154,1
T Natarajan,1.5166,1.2589,0,2.0414,1.9154,1
Riyan Parag,0.9385,0.9385,1.5317,0,0,0
Tom Curran,1.4191,1.7743,0,1.3618,2.312,1
Jofra Archer,2.1917,2.1917,2.9483,2.9724,1.7612,0
Shreyas Gopal,2.4122,2.8296,3.6626,1.9283,1.7612,0
Ankit Rajpoot,1.4191,2.3762,1.4348,1.2929,1.7319,1
Jaydev Unadkat,1.6763,3.4372,2.7063,3.0747,2.5249,0
Glenn Maxwell,1.6763,1.6763,0,1.1685,0.8584,0
James Neesham,1.0987,0,0,0,0,1
Murugan Ashwin,1.3564,1.934,2.1432,2.1879,2.1936,1
Mohammed Shami,2.2892,2.6148,3.8685,3.3122,3.3539,3
Sheldon Cottrell,1.9693,1.9693,0,1.7484,1.6372,1
Ravi Bishnoi,1.8718,0,0,0,0,0
Shivam Dube,1.9693,1.9693,0.6115,0,2.7737,0
Washington Sundar,1.5166,2.0315,2.155,3.2654,1.9003,1
Isuru Udana,1.8718,1.8718,0,2.1879,2.3328,2
Navdeep Saini,1.6763,1.6763,2.8032,1.2708,2.5249,0
Adam Zampa,1.4191,2.1538,0,2.5303,1.7319,1
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.4713,4.2122,1
Hardik Pandya,2.6148,2.3514,3.7052,2.6326,0,0
Kieron Pollard,2.7378,2.7378,0,3.9476,1.1602,0
Krunal Pandya,2.7123,2.7123,3.5175,3.9008,0.5801,0
James Pattinson,1.5166,1.5166,0,0.6354,0.8584,0
Rahul Chahar,2.129,2.129,3.3539,1.2929,1.871,1
Trent Boult,1.9693,2.6091,2.2158,3.2875,2.4719,2
Jasprit Bumrah,3.1297,3.3931,4.1531,4.072,1.1602,0
Marcus Stoinis,1.9693,1.9595,1.5317,0.6354,0,0
Axar Patel,1.7738,3.2527,2.9424,3.4145,3.052,0
Kagiso Rabada,2.5712,2.5712,4.0616,3.2005,0,2
Anrich Nortje,1.4539,1.6141,0,0,0,0
Amit Mishra,3.5719,4.9025,3.0693,3.0747,2.4719,2
Ishant Sharma,1.6141,3.2224,3.2329,2.1216,2.0101,0
Abhishek Sharma,1.8718,1.8718,2.034,2.3344,0.5801,0
Rashid Khan,2.5464,2.8098,3.9654,3.561,2.0101,3
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,3.3924,1.9448,2
T Natarajan,1.5166,1.2589,0,0.6354,1.9154,1
Khaleel Ahmed,1.9693,1.9693,3.0934,2.6521,1.9154,1
Riyan Parag,0.9385,0.9385,1.5317,0.6354,0,0
Tom Curran,1.4191,1.7743,0,0,0,1
Jofra Archer,2.1917,2.1917,2.9483,1.9283,0,2
Shreyas Gopal,2.4122,2.8296,3.6626,2.6547,0,0
Ankit Rajpoot,1.4191,2.3762,1.4348,0.6354,0,1
Jaydev Unadkat,1.6763,3.4372,2.7063,3.0747,1.7612,1
Sunil Narine,3.7981,4.0615,2.9242,3.268,2.2883,1
Andre Russell,3.093,2.9955,3.4206,3.3122,0,0
Kamlesh Nagarkoti,0.6808,0.6808,0,0,0,2
Pat Cummins,0.9385,1.934,0,0,0,1
Shivam Mavi,1.2589,1.2589,0,1.8728,0,2
Kuldeep Yadav,2.4744,2.4744,1.8586,3.6647,0,1
Varun Chakravarthy,0,1.5166,0,0,0,2
Glenn Maxwell,1.6763,1.6763,0,1.2929,0.5801,0
Murugan Ashwin,1.3564,1.934,2.1432,2.63,0,0
Sheldon Cottrell,1.9693,1.9693,0,0,0,1
Mohammed Shami,2.2892,2.6148,3.8685,3.1189,1.7319,1
Kieron Pollard,2.7378,2.7378,0,2.6326,1.3647,0
Hardik Pandya,2.6148,2.3514,3.7052,2.4393,0,0
Krunal Pandya,2.7123,2.7123,3.5175,2.246,1.3647,1
James Pattinson,1.5166,1.5166,0,0,3.052,2
Rahul Chahar,2.129,2.129,3.3539,1.2929,2.9129,2
Trent Boult,1.9693,2.6091,2.2158,3.4587,3.052,1
Jasprit Bumrah,3.1297,3.3931,4.1531,4.0941,2.7738,2
Shane Watson,1.2589,3.5161,0,3.8011,0.5801,0
Ravindra Jadeja,3.4372,3.8665,3.9654,2.8814,3.7427,0
Dwayne Bravo,3.5104,4.0987,3.1119,4.0941,0.8584,0
Sam Curran,1.7743,1.8973,3.0496,0.9531,1.7612,0
Piyush Chawla,1.7743,4.5218,2.8032,3.4145,3.1912,1
Shardul Thakur,2.1917,2.6091,2.4217,3.268,1.871,1
Deepak Chahar,2.7066,2.4489,4.1531,3.9229,2.4511,2
Abdul Samad,1.4191,1.4191,0,1.5551,1.7319,1
Abhishek Sharma,1.0987,1.0987,2.034,0.6354,2.0545,0
Rashid Khan,2.8098,2.8098,3.9654,3.4145,1.4385,0
Bhuvneshwar Kumar,3.6334,4.4851,3.4147,3.5389,2.9423,1
Khaleel Ahmed,1.8718,1.8718,3.0934,1.6106,0.8584,0
T Natarajan,1.7743,1.5166,0,2.1879,2.7738,2
Shivam Dube,1.9693,1.9693,0.6115,0.6354,0.5801,0
Washington Sundar,1.2589,2.0315,2.155,0.9531,0.8584,0
Isuru Udana,1.8718,1.8718,0,2.1879,2.3328,2
Navdeep Saini,1.6763,1.6763,2.8032,1.2929,1.7319,1
Adam Zampa,0.9385,2.1538,0,0.6354,0.5801,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.2406,3.052,3
Riyan Parag,0.9385,0.9385,1.5317,2.1879,0.5801,0
Rahul Tewatia,1.7743,2.2892,2.034,1.6106,0.8584,0
Tom Curran,1.0987,1.6768,0,0.6354,0.8584,0
Shreyas Gopal,2.4122,2.8296,3.6626,3.6647,2.0101,1
Jaydev Unadkat,1.6763,3.4372,2.7063,3.1189,2.9129,0
Jofra Archer,2.2892,2.2892,2.9483,1.8039,2.2883,1
Marcus Stoinis,1.5166,1.9595,1.5317,1.9283,1.7319,1
Ravichandran Ashwin,1.9693,4.4603,3.5598,4.4118,1.1602,0
Kagiso Rabada,2.5712,2.5712,4.0616,2.9945,1.7319,1
Anrich Nortje,1.7743,1.7743,0,2.3344,2.4719,3
Amit Mishra,3.5719,4.9025,3.0693,4.072,2.913,1
Harshal Patel,1.7743,2.6091,1.4833,2.8259,2.4719,2
Sunil Narine,3.7981,4.0615,2.9242,4.789,1.6665,0
