Zeros,Centuries,Fifties,BatAvg,HS,No. of Inn (Bat),Player,BatSR,BowlAvg,No. of Inn (Bowl),Overs,BowlSR,WicketHaul
2,0,1,23.33,65,4,Ruturaj Gaikwad,104.47,0,0,0,0,0
3,0,14,32.90,96,69,Faf du Plessis,129.27,0,1,1.0,0,0
3,1,5,34.55,100,42,Ambati Rayudu,125.40,0,0,0,0,0
3,0,21,43.15,84,154,MS Dhoni,138.79,0,0,0,0,0
2,0,1,21.62,52,10,Sam Curran,136.22,23.69,11,37.0,17.0,0
1,0,0,16.50,33,2,Narayan Jagadeesan,113.79,0,0,0,0,0
3,0,1,23.68,50,79,Ravindra Jadeja,131.93,27.01,101,300.3,21.2,4
0,0,0,0,0,0,Ravisrinivasan Sai Kishore,0,0,0,0,0,0
0,0,0,32.00,22,2,Mitchell Santner,139.13,23.40,5,18.0,21.6,0
3,0,0,10.66,39,9,Deepak Chahar,128.00,24.88,41,148.4,20.2,0
0,0,0,0,0,0,Monu Kumar,0,0,1,2.0,0,0
0,0,0,0,0,0,KM Asif,0,25.00,2,6.0,12.0,0
0,0,0,0,13,3,Imran Tahir,125.00,20.96,25,92.0,17.2,2
0,0,7,33.73,76,36,Shubman Gill,123.69,0,0,0,0,0
3,0,6,26.08,85,38,Nitish Rana,138.54,17.57,12,15.1,13.0,0
0,0,1,20.88,81,9,Rahul Tripathi,129.65,0,0,0,0,0
2,0,5,31.00,97,41,Dinesh Karthik,142.02,0,0,0,0,0
1,0,2,26.86,66,34,Eoin Morgan,127.28,0,0,0,0,0
5,0,4,17.35,75,64,Sunil Narine,165.73,24.30,117,456.1,21.5,7
1,0,1,18.71,53,11,Pat Cummins,124.76,58.75,16,58.0,43.5,0
2,0,8,31.17,88,56,Andre Russell,183.61,24.73,61,168.1,16.8,1
0,0,0,0,24,2,Lockie Ferguson,148.27,34.62,9,32.5,24.6,0
1,0,0,7.00,8,5,Kamlesh Nagarkoti,70.00,43.25,7,19.0,28.5,0
1,0,0,3.00,2,5,Prasidh Krishna,27.27,44.50,24,85.5,28.6,1
0,0,0,0,0,0,Varun Chakravarthy,0,0,0,0,0,0
