Zeros,Centuries,Fifties,BatAvg,HS,No. of Inn (Bat),Player,BatSR,BowlAvg,No. of Inn (Bowl),Overs,BowlSR,WicketHaul
0,0,0,0,0,0,Devdutt Padikkal,0,0,0,0,0,0
0,0,0,0,0,0,Aaron Finch,0,0,0,0,0,0
0,1,2,33.14,100,14,Virat Kohli,141.46,0,0,0,0,0
0,0,5,44.20,82,13,AB de Villiers,154.00,0,0,0,0,0
0,0,1,32.66,65,3,Gurkeerat Singh Mann,140.00,0,0,0,0,0
0,0,0,13.33,24,4,Shivam Dube,121.21,0,2,1.4,0,0
1,0,0,0.50,1,2,Washington Sundar,33.33,18.50,3,9.0,13.5,0
0,0,0,0,0,0,Isuru Udana,0,0,0,0,0,0
0,0,0,2.00,2,2,Navdeep Saini,50.00,36.09,13,48.0,26.1,0
0,0,0,0,0,0,Adam Zampa,0,0,0,0,0,0
0,0,0,3.00,4,3,Yuzvendra Chahal,37.50,21.44,14,49.2,16.4,1
1,0,4,35.26,81,16,Quinton de Kock,132.91,0,0,0,0,0
0,0,2,28.92,67,15,Rohit Sharma,128.57,0,0,0,0,0
0,0,2,32.61,71,15,Suryakumar Yadav,130.86,0,0,0,0,0
0,0,0,16.83,28,6,Ishan Kishan,101.00,0,0,0,0,0
1,0,1,44.66,91,15,Hardik Pandya,191.42,27.85,16,42.3,18.2,0
0,0,1,34.87,83,14,Kieron Pollard,156.74,0,0,0,0,0
1,0,0,16.63,42,15,Krunal Pandya,122.00,27.91,16,46.0,23.0,0
0,0,0,0,0,0,James Pattinson,0,0,0,0,0,0
1,0,0,6.00,10,4,Rahul Chahar,109.09,23.69,13,47.0,21.6,0
0,0,0,7.00,6,3,Trent Boult,175.00,32.60,5,19.0,22.8,0
0,0,0,0,0,2,Jasprit Bumrah,0.00,21.52,16,61.4,19.4,0
