Zeros,Centuries,Fifties,BatAvg,HS,No. of Inn (Bat),Player,BatSR,BowlAvg,No. of Inn (Bowl),Overs,BowlSR,WicketHaul
0,0,2,37.00,56,3,Devdutt Padikkal,132.14,0,0,0,0,0
0,0,1,33.66,52,3,Aaron Finch,121.68,0,0,0,0,0
0,0,0,6.00,14,3,Virat Kohli,62.06,0,0,0,0,0
0,0,2,67.00,55,3,AB de Villiers,186.11,0,0,0,0,0
0,0,0,0,0,0,Gurkeerat Singh Mann,0,0,0,0,0,0
0,0,0,23.00,27,3,Shivam Dube,153.33,12.00,2,6.0,9.0,0
0,0,0,30.00,30,1,Washington Sundar,111.11,32.00,3,7.0,42.0,0
0,0,0,0,0,0,Isuru Udana,0,22.50,1,4.0,12.0,0
0,0,0,6.00,6,1,Navdeep Saini,85.71,52.50,3,12.0,36.0,0
0,0,0,0,0,0,Adam Zampa,0,53.00,1,4.0,24.0,0
0,0,0,1.00,1,1,Yuzvendra Chahal,33.33,18.20,3,12.0,14.4,0
0,0,0,16.00,33,3,Quinton de Kock,126.31,0,0,0,0,0
0,0,1,33.33,80,3,Rohit Sharma,138.88,0,0,0,0,0
1,0,0,21.33,47,3,Suryakumar Yadav,139.13,0,0,0,0,0
0,0,1,99.00,99,1,Ishan Kishan,170.68,0,0,0,0,0
0,0,0,15.66,18,3,Hardik Pandya,130.55,0,0,0,0,0
0,0,1,91.00,60,3,Kieron Pollard,202.22,34.00,2,4.0,24.0,0
0,0,0,4.00,3,3,Krunal Pandya,66.66,70.00,3,8.0,48.0,0
0,0,0,11.00,11,1,James Pattinson,137.50,34.33,3,12.0,24.0,0
0,0,0,0,2,1,Rahul Chahar,50.00,23.25,3,12.0,18.0,0
1,0,0,0.00,0,1,Trent Boult,0.00,17.40,3,11.2,13.6,0
0,0,0,0,5,1,Jasprit Bumrah,166.66,39.00,3,12.0,24.0,0
