Centuries,Fifties,BatAvg,HS,No. of Inn (Bat),Player,Zeros,BatSR,WicketHaul,BowlAvg,Overs,BowlSR,No. of Inn (Bowl)
0,2,37.00,56,3,Devdutt Padikkal,0,132.14,0,0,0,0,0
0,2,51.25,88,5,Aaron Finch,0,135.76,0.0,0.0,0.0,0.0,0
0,0,4.40,14,5,Virat Kohli,1,66.67,0.0,0.0,0.0,0.0,0
0,2,65.33,55,5,AB de Villiers,0,145.19,0.0,0.0,0.0,0.0,0
0,0,0,0,0,Gurkeerat Singh Mann,0,0.0,0.0,0.0,0.0,0.0,0
0,0,23.00,27,3,Shivam Dube,0,153.33,0,12.00,6,9.00,2
0,0,30.00,30,1,Washington Sundar,0,111.11,0,32.00,7,42.00,3
0,0,0,0,0,Isuru Udana,0,0.0,0,22.50,4,12.00,2
0,0,6.00,6,1,Navdeep Saini,0,85.71,0,52.50,12,36.00,4
0,0,0,0,0,Adam Zampa,0,0.0,0,53.00,4,24.00,2
0,0,1.00,1,1,Yuzvendra Chahal,0,33.33,0,14.56,20,13.33,7
0,0,31.00,48,2,Quinton de Kock,0,137.78,0,0,0,0,0
0,1,15.25,50,4,Rohit Sharma,0,103.39,0.0,0.0,0.0,0.0,0
0,0,8.00,8,2,Suryakumar Yadav,1,160.0,0.0,0.0,0.0,0.0,0
0,1,99.00,99,1,Ishan Kishan,0,170.69,0.0,0.0,0.0,0.0,0
0,0,15.00,15,1,Hardik Pandya,0,115.38,0.0,0.0,0.0,0.0,0
0,2,51.00,78,4,Kieron Pollard,0,170.0,0,0,6,0,2
0,0,0,0,1,Krunal Pandya,0,0.0,0,0,3,0,1
0,0,0,0,0,James Pattinson,0,0.0,0,0,4,0,2
0,0,0,0,0,Rahul Chahar,0,0.0,0,31.00,4,24.00,2
0,0,0,0,0,Trent Boult,0,0.0,0,17.00,4,12.00,2
0,0,0,1,1,Jasprit Bumrah,0,100.0,0,0,6,0,2
